ID,Schema,Federal(F) /Cantonal (C),Download,THEME ID
ch.Nutzungsplanung,land_use_plans,C,unset,unset
ch.ProjektierungszonenNationalstrassen,motorways_project_planing_zones,F,https://data.geo.admin.ch/ch.astra.projektierungszonen-nationalstrassen_v2_0.oereb/,ch.astra.projektierungszonen-nationalstrassen_v2_0.oereb
ch.BaulinienNationalstrassen,motorways_building_lines,F,https://data.geo.admin.ch/ch.astra.baulinien-nationalstrassen_v2_0.oereb/,ch.astra.baulinien-nationalstrassen_v2_0.oereb
ch.ProjektierungszonenEisenbahnanlagen,railways_project_planning_zones,F,https://data.geo.admin.ch/ch.bav.projektierungszonen-eisenbahnanlagen_v2_0.oereb/,ch.bav.projektierungszonen-eisenbahnanlagen_v2_0.oereb
ch.BaulinienEisenbahnanlagen,railways_building_lines,F,https://data.geo.admin.ch/ch.bav.baulinien-eisenbahnanlagen_v2_0.oereb/,ch.bav.baulinien-eisenbahnanlagen_v2_0.oereb
ch.ProjektierungszonenFlughafenanlagen,airports_project_planning_zones,F,https://data.geo.admin.ch/ch.bazl.projektierungszonen-flughafenanlagen_v2_0.oereb/,ch.bazl.projektierungszonen-flughafenanlagen_v2_0.oereb
ch.BaulinienFlughafenanlagen,airports_building_lines,F,https://data.geo.admin.ch/ch.bazl.baulinien-flughafenanlagen_v2_0.oereb/,ch.bazl.baulinien-flughafenanlagen_v2_0.oereb
ch.Sicherheitszonenplan,airports_security_zone_plans,F,https://data.geo.admin.ch/ch.bazl.sicherheitszonenplan_v2_0.oereb/,ch.bazl.sicherheitszonenplan_v2_0.oereb
ch.BelasteteStandorte,contaminated_sites,C,unset,unset
ch.BelasteteStandorteMilitaer,contaminated_military_sites,F,https://data.geo.admin.ch/ch.vbs.kataster-belasteter-standorte-militaer_v2_0.oereb/,ch.vbs.kataster-belasteter-standorte-militaer_v2_0.oereb
ch.BelasteteStandorteZivileFlugplaetze,contaminated_civil_aviation_sites,F,https://data.geo.admin.ch/ch.bazl.kataster-belasteter-standorte-zivilflugplaetze_v2_0.oereb/,ch.bazl.kataster-belasteter-standorte-zivilflugplaetze_v2_0.oereb
ch.BelasteteStandorteOeffentlicherVerkehr,contaminated_public_transport_sites,F,https://data.geo.admin.ch/ch.bav.kataster-belasteter-standorte-oev_v2_0.oereb/,ch.bav.kataster-belasteter-standorte-oev_v2_0.oereb
ch.Grundwasserschutzzonen,groundwater_protection_zones,C,unset,unset
ch.Grundwasserschutzareale,groundwater_protection_sites,C,unset,unset
ch.Laermempfindlichkeitsstufen,noise_sensitivity_levels,C,unset,unset
ch.StatischeWaldgrenzen,forest_perimeters,C,unset,unset
ch.Waldabstandslinien,forest_distance_lines,C,unset,unset
ch.ProjektierungszonenStarkstromanlagen,nominal_high_voltage_reserved_zones,F,https://data.geo.admin.ch/ch.bfe.projektierungszonen-starkstromanlagen_v2_0.oereb/,ch.bfe.projektierungszonen-starkstromanlagen_v2_0.oereb
ch.BaulinienStarkstromanlagen,high_voltage_installations_building_lines,F,https://data.geo.admin.ch/ch.bfe.baulinien-starkstromanlagen_v2_0.oereb/,ch.bfe.baulinien-starkstromanlagen_v2_0.oereb
